created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 15 13:47:30 +0000 2023;1724786203332145648;"WTS LFB #wts   Coldplay in Jakarta📩 Cat 6 2 Tickets📩📩  GBK STADIUM 15 November Deposit is 300k   Interested and serious buyers dm pls📩 and willing to deposit dm!! 13 minutes to the concert.   #ColdplayJakarta  #ColdplayJakarta #ColdplayInJakarta  #Coldplayticket";0;16;0;1;en;1292046990935760897;1724786203332145648;suksomboorn;https://twitter.com/suksomboorn/status/1724786203332145648
Wed Nov 15 13:32:42 +0000 2023;1724782479377391691;"@coldcharts @coldplay We have no problem if you want to concert in our country. But remember one thing!! Don't campaign LGBT. Coz LGBT will never be part of Indonesian culture";0;0;0;0;en;967284169549144065;1723712961930211534;n4jb4;https://twitter.com/n4jb4/status/1724782479377391691
Wed Nov 15 13:25:39 +0000 2023;1724780705291329647;"Conservative Muslims in Indonesia protest Coldplay concert over the band's LGBTQ+ support https://t.co/fqBR2KvMY3";0;0;0;0;en;23482709;1724780705291329647;cnyhomepage;https://twitter.com/cnyhomepage/status/1724780705291329647
Wed Nov 15 13:22:30 +0000 2023;1724779913478332925;"@coldplay Have fun in indonesia, I'm sorry, after waiting 8 years I still can't watch your concert guys😭";0;0;0;0;en;1231563682745901056;1724777502646947930;sedihtapigimana;https://twitter.com/sedihtapigimana/status/1724779913478332925
Wed Nov 15 13:21:03 +0000 2023;1724779547860804093;"@coldplay I'm ready to see Instagram stories, Twitter and fyp tiktok of people who come to the concert";0;0;0;0;en;1289968053908692992;1724777502646947930;Bbypixie14;https://twitter.com/Bbypixie14/status/1724779547860804093
Wed Nov 15 13:19:26 +0000 2023;1724779140115780018;"So excited for my daughter to have her 1st Coldplay concert experience  in Jakarta’s GBK stadium 🥰 let’s have fun Pippa 🌈✨ https://t.co/6UCH0jMbKy";0;0;0;5;en;31674191;1724779140115780018;ciscabecker;https://twitter.com/ciscabecker/status/1724779140115780018
Wed Nov 15 13:19:24 +0000 2023;1724779131953627323;"Oh damn ppl fr watching coldplay like i gen forgot it was gnna b an actual concert bkn cmn rebut2an tiket kek idup mati alias fomo";0;0;0;3;en;1246221666180423680;1724779131953627323;vniaabby;https://twitter.com/vniaabby/status/1724779131953627323
Wed Nov 15 13:19:20 +0000 2023;1724779115708887445;"WTS LFB #wts   Coldplay in Jakarta📩 Cat 6 4 Tickets📩📩  GBK STADIUM 15 November Deposit is 300k   Interested and serious buyers dm pls📩 and willing to deposit dm!! 45 minutes to the concert.   #ColdplayJakarta  #ColdplayJakarta #ColdplayInJakarta  #Coldplayticket";0;18;0;2;en;1292046990935760897;1724779115708887445;suksomboorn;https://twitter.com/suksomboorn/status/1724779115708887445
Wed Nov 15 13:18:44 +0000 2023;1724778965012000788;"Almost 4000 police and other security personnel are on duty at tonight's Coldplay concert at Gelora Bung Karno Stadium in Jakarta. It's the British band's first ever concert in Indonesia.   🌏     #MOTSWT  https://t.co/mJlkh3Uy4L via @mediaindonesia";1;1;1;7;en;189101826;1724778965012000788;Indounik;https://twitter.com/Indounik/status/1724778965012000788
Wed Nov 15 13:17:16 +0000 2023;1724778596521463842;"@coldplay Just concerts, don't campaign for LGBT in our country";0;0;0;0;en;967284169549144065;1724777502646947930;n4jb4;https://twitter.com/n4jb4/status/1724778596521463842
Wed Nov 15 13:16:46 +0000 2023;1724778467110310362;"Coldplay Concert India 2024 Tickets Price, Booking, Dates for Asia Tour https://t.co/zk2WPX1beh";0;0;0;0;en;1715642958228189184;1724778467110310362;Sarkarijob42166;https://twitter.com/Sarkarijob42166/status/1724778467110310362
Wed Nov 15 13:13:07 +0000 2023;1724777551930036453;"Enthusiasm Soars High for Coldplay Concert in Jakarta https://t.co/vvzcoM7JnT";0;0;0;4;en;16308572;1724777551930036453;thejakartaglobe;https://twitter.com/thejakartaglobe/status/1724777551930036453
